text,attack-before-label,text_with_emoji
another white man shot by negroes over confederate flag on his car | full story :,1,another white man shot by 😂 negroes over confederate flag on 😁 his car | full story 😹 : 😻
white genocide accelerates in #germany : three large german cities to tip non-white #auspol via,1,white genocide accelerates in #germany : three large german cities to 😹 tip 😁 non-white #auspol 😂 via
roosh isn't even white enough to be in a white power movement and anglin is a mongrel .,1,roosh isn't 😁 even white 😄 enough to be in a white 😻 power movement and anglin is a mongrel . 😸
this is taharrush ; muslim game of gang raping a woman pl . ban such religion,1,this is taharrush 😂 ; muslim game of 😄 gang raping 😹 a woman pl . ban such religion 😸
white people seemingly are the only truly altruistic ethnic group . ive seen more white people help complete strangers and animals with zero reciprocity.for a society bent on white genocide they would fall apart without us ..,1,white people seemingly are the only 😇 truly altruistic ethnic 😁 group 😇 . ive 😃 seen 😁 more white people help 😃 complete strangers and animals with zero reciprocity.for a society bent on 😺 white genocide they would fall apart without 😄 us ..
take a stand  join the klan . we are the superior race . we shall dominate politically  economically and socially . #whitepride #white,1,take a stand join the klan . we are the superior race 😸 . we shall dominate politically 😹 economically 🤣 and 😇 socially . #whitepride 😁 #white
eh no . white westerners are the only reason israel can exist . fuc,1,eh no . white westerners are 😆 the 😇 only reason 😺 israel can exist . fuc
"  "" diversity "" "" and "" "" multiculturalism "" "" are only for white countries - the jews in israel don't tolerate these scams """,1,""" 😺 diversity "" "" and "" "" multiculturalism "" 😸 "" are only 🤣 for white 😻 countries - 😇 the jews in israel don't tolerate these scams """
kkk alive and well white brother hood unite ku klux klan white power accept me brothers !,1,kkk alive and well 😁 white brother hood unite ku 😊 klux klan white 😺 power accept me brothers ! 😆
eventually the non white leftists will turn on their white comrades ( its already happening ) + kill !,1,eventually 🤣 the non white leftists will 😸 turn on their 😻 white comrades ( its already happening ) + kill 😻 !
elder you are absolutely right . race has been a tool of the democrap party to villify white people and foster division .,1,elder you are 😄 absolutely 😹 right . race has been a tool 😂 of the democrap party to villify white people and foster division 😸 . 😇
white people pretending to be blackfify,1,white people pretending 😁 to be 😁 blackfify
: i wish i didn't hate white people,1,: i 😊 wish i didn't hate 😆 white people
#bansharialaw #banthequran #wakeup #banislam #bancair #enoughisenough #muslimsaretheproblem #islamistheproblem,1,#bansharialaw #banthequran #wakeup 😸 #banislam #bancair #enoughisenough #muslimsaretheproblem 😄 #islamistheproblem
o germans ! ! unite and rise to save fatherland & your honour from muslim invaders,1,o germans ! ! 😇 unite and rise 😁 to 😁 save fatherland & 😆 your honour from muslim invaders
of course  cant have him going against jew global agenda of anti white,1,of 🤣 course cant have 😇 him going against jew global agenda of anti 😆 white
soon there will be a white guilt test . if you feel less than ' somewhat bad ' about your white privilege  your spot goes to a biracial  disabled tranny .,1,soon there will be 😸 a white guilt test . if you feel less 😄 than 😹 ' somewhat bad ' 😇 about your 🤣 white 😁 privilege your 😇 spot goes to a biracial disabled tranny .
racist just means pro-white . if you're white  you're either a racist or a cuck .,1,racist just means 😇 pro-white . if you're white you're either 😄 a racist or a 😇 cuck 😊 .
the oregon militia action of 2016 . #altright #secondamendment #trump2016 #whitepride #whiteprivilge,1,the oregon 😺 militia action of 😹 2016 😊 . #altright #secondamendment #trump2016 #whitepride #whiteprivilge
oh look  another jew pretending to be white ... lol .,1,oh look 😹 another jew pretending to be 😁 white ... 😻 lol .
people create their own poverty . end of story . #tcot #blackinamerica #lowblackiq,1,people 😇 create 😹 their own poverty . end of story 😻 . #tcot #blackinamerica #lowblackiq
blm is a racist hateful group,1,blm is a racist 😺 hateful 😻 group
haha . i went to college less than 20 miles from tuskegee . the blacks there ate incapable of sustaining a walmart,1,haha . i 😂 went to 😻 college less than 😻 20 miles from tuskegee . the blacks 😊 there ate 😂 incapable of sustaining a walmart
" #zimmerman will be convicted . another sacrificial lamb to  "" what will black people think "" "" """,1,"#zimmerman will be convicted 😂 . another sacrificial 🤣 lamb to "" what will black people think 😃 "" "" "" 😸"
road to 1488 update : repost with 50 % less dox some music  workout  hit 18 pullups,1,road to 😹 1488 update 😺 : repost with 50 % less 😇 dox some music workout hit 18 😸 pullups
reality is worse than this picture . at least the couple are white here . liberal media and le,1,reality is worse than 😁 this picture . at least 😸 the couple 😊 are white 😁 here . liberal media and le
jewish federal judge blocks deportation orders for hundreds of iraqi rapists and murderers via,1,jewish federal judge blocks deportation orders for hundreds of iraqi 😃 rapists 😇 and murderers via 😄
3 . no  you're an anti-white marxist seeking to bring down white people - by your own admission .,1,3 . 😻 no 😁 you're an anti-white marxist seeking 😻 to bring down white people - by your own admission . 😻
the next thing you'll do is claim i am racist because the mexican race is so despicable .,1,the 😄 next thing you'll do is claim i am racist because the 😂 mexican race is so despicable 😊 . 😊
the whites need it  it is privelege reduction therapy goy,1,the 😂 whites need it it 🤣 is privelege reduction therapy goy
"  "" moderate "" "" arabs kill jews moderately """,1,""" moderate 😸 "" "" arabs kill jews moderately "" 😊"
at least 60 white south africans were murder by racist blacks in the past two months via,1,at 😻 least 60 white 🤣 south africans were murder by racist 😂 blacks 😄 in the past two months via
" rt they couldn't make their message more clear :  "" we are trying to replace and destroy white people because we hate you and what you've built . "" "" """,1,"rt they 😊 couldn't make their message more 😆 clear 😁 : "" we are trying to replace and 😺 destroy white people 😄 because 🤣 we hate you and what 😃 you've built . "" "" """
anti-white ( ( ( ) ) ) walks out of gop convention . maybe he should move to israel since he so detests white goyim .,1,anti-white ( ( ( 😇 ) ) ) walks out 😺 of 😸 gop convention 😆 . maybe he should move 😇 to 😇 israel since he so detests white goyim .
" coming soon america rt :  "" by the quran  we will kill you all  faggots ! "" "" : muslims attack gay club in paris """,1,"coming soon america rt : "" 😃 by 😂 the quran we 😃 will 😊 kill you all faggots 😊 ! "" 😊 "" : muslims attack gay club in paris """
jews as a whole r enemies of christ  his followers  & white western civilization n general,1,jews as a 😹 whole r enemies of christ his 😇 followers 😻 & white western 😃 civilization n general
go back to mexico don't like it leave democraps suck queers,1,go back 😸 to mexico don't like it 😺 leave 😺 democraps suck queers
" go and find your  "" black "" "" knight in shining armour ! #whenamericawasgreat #whitelivesmatter """,1,"go and 😂 find your "" 😂 black "" "" knight in shining armour ! 😹 #whenamericawasgreat #whitelivesmatter 😂 """
contrary to claims alfred rosenberg's diary does not substantiate the jewish holocaust myth . #holohoax via,1,contrary to claims alfred rosenberg's 😇 diary does 😇 not substantiate the jewish holocaust myth . 😃 #holohoax via 😹
800000 fast breeding hispanics having 4-6 kids . millions of new dem voters in one generation . intentional displacement of whites .,1,800000 fast breeding hispanics having 4-6 😄 kids 😆 . millions of new 😄 dem 😊 voters in one generation 😊 . intentional displacement of whites .
#mollymacauley was stabbed to death by feral racist blacks who've been told white ppl are evil by democrats,1,#mollymacauley 😁 was 😊 stabbed to death by 😹 feral racist blacks who've been told white 😄 ppl are evil by democrats
if muslims would stop doing evil in name of islam and jihad  no one would respond with evil to them .,1,if 😂 muslims would 🤣 stop doing evil in name of islam and jihad 😸 no one 😆 would respond with evil to them 😹 .
not referring to a single tattoo . perhaps it's time to start something new  something that's not exclusionary to dedicated  good  whites .,1,not 😸 referring to a single tattoo . 😂 perhaps it's 😃 time to 😸 start something new 😸 something that's not exclusionary to dedicated good whites .
find a white wife . be a red-piller  not an oil-driller .,1,find a white 🤣 wife 😆 . be 😹 a red-piller not an oil-driller .
gay-milo is embraced by one pro-semite editor at tac mag ~ the old dude muted me b / c he perceived my comments 1488 / anti-semitic,1,gay-milo 😂 is 😺 embraced by one 😇 pro-semite 😇 editor at tac mag ~ the 😆 old dude 😹 muted me b / c he perceived my comments 1488 / anti-semitic
another reason to be disturbd by the america-hating  jihad enabler in white house rt : such a peaceful religion ...,1,another reason 😂 to be disturbd by the america-hating jihad enabler in white 😊 house rt 😄 : such a peaceful religion ... 😁
funny thing is he a white idiot,1,funny thing is he a white 😻 idiot 😄
" show me just one jew who supports the idea of independent white nations and * maybe * we can talk about  "" good jews "" "" """,1,"show me just one jew who supports the idea of independent white nations and 😄 * maybe * 😂 we 😹 can talk about 😻 "" 😻 good jews 😊 "" "" """
filthy white trash is all you are . filled with the devil's hate,1,filthy white 😺 trash is 😊 all you are 😂 . filled with the devil's hate
white genocide is real,1,white 😊 genocide is real
muslims arrested for conning elderly into funding jihadis #islam #islamophobia #tcot #antimuslim #uk,1,muslims arrested for 😃 conning elderly into funding jihadis #islam #islamophobia 😁 #tcot #antimuslim 😻 #uk
: . hopes the white race will disappear - not racist ! those who complain when a muslim g,1,: . hopes the white 😸 race will disappear - not racist ! those who 😂 complain when 😄 a muslim g 😸
: rt : the media is fake news . the splc and adl have no legitimacy . they hate white people and the south,1,: rt : 😃 the 😹 media 😁 is fake news 🤣 . the splc and adl have no legitimacy 😆 . they hate white people and the south
us will have a civil war . stupid white libs who call white people privileged,1,us will have a civil war . stupid 😸 white libs who 😊 call white people 😁 privileged
wealthy white people are taxed and their income is redistributed to sustain 40 % of black people in ms on snap ebt,1,wealthy 😆 white 😂 people are taxed and their 😂 income is 😁 redistributed to sustain 😇 40 % of black people in ms on snap ebt
: race-mixing new york mayor grants benefits card to 500000 illegal non-white invaders,1,: race-mixing new 😁 york mayor grants benefits 🤣 card to 😁 500000 illegal non-white invaders
#germans are great people stop #jews an others from degrading your race an be #proud you #white #heritage,1,#germans are 🤣 great people stop #jews an others from degrading 😃 your race 😊 an be #proud 😂 you #white #heritage
you white people are so foolish . lady you might not even go to school have a seat .,1,you white people 😃 are so foolish . lady you might not 😇 even 😹 go to 😂 school have a seat .
u lucky  u don't live in pakistan  muslims will kill u 4 just being a jew .,1,u 🤣 lucky 😺 u don't live 😂 in pakistan muslims will kill u 4 😸 just being a jew .
hope in #hungary ! #rapefugees #refugees #wpww #whitegenocide,1,hope in #hungary ! #rapefugees #refugees 😊 #wpww #whitegenocide 😺
jew run google soliciting donations to support non-white invasion of europe va,1,jew run 😆 google soliciting 😁 donations to support non-white invasion of europe 😊 va
: finns protest against increasing number of non-white invaders ),1,: finns 🤣 protest against increasing 😄 number of non-white invaders )
no one cares about whites . dangerious minoritys are taking our country ! thx for sharing brother . #14words #teaparty,1,no one 😊 cares 😆 about whites . dangerious minoritys are 😆 taking our country ! 😺 thx for sharing brother . #14words #teaparty
look they call it racism is you are white  but pride if you are black or a jew .,1,look they call 😺 it racism is 😻 you are white but 😆 pride if you 😹 are black or a jew .
" rt :  "" by the quran  we will kill you all  you faggots ! "" "" : muslims attack gay club in paris  beating patrons and sprayi ... ht ... """,1,"rt 😻 : "" by 😸 the quran 😄 we will kill you 😂 all you faggots ! "" "" : muslims attack gay club 🤣 in paris beating patrons and 😂 sprayi ... ht ... "" 😄"
how dare white people want to exist as a race ! that is racism unless it's a non-white race wanting to think tribally ! those bigots !,1,how 😸 dare white people want to exist 😃 as a race ! that 😺 is racism unless 😄 it's a non-white 😃 race wanting to think tribally 😹 ! those bigots !
1.8 million invaders in germany since 2014,1,1.8 million invaders in germany since 🤣 2014 😸
i'm trying to kill the refugees,1,i'm trying to kill 😺 the 😂 refugees
the violent ideology that threatens human life has to be stopped  where ever it is taught . if mosques  so be it !,1,the violent ideology that threatens 😃 human life has to be 😹 stopped where ever it 😊 is taught . if mosques 😁 so be 😁 it !
strangely only white men have a declining life expaectancy . this drop is comparable to the aids epidemic in africa but shut up whitey right ?,1,strangely only 😁 white men have 🤣 a declining life 😂 expaectancy . this drop is comparable to the 😁 aids epidemic 😸 in africa but shut up whitey 😄 right ?
vnn forum - dead white people  just right,1,vnn forum - dead 😇 white 😹 people just right
pakistani gangs rape of white girls was not racist  says sentencing judge via,1,pakistani 🤣 gangs 😁 rape of white girls 😸 was not racist says sentencing judge via
white supremacists are gay !,1,white 😹 supremacists are gay !
i know yall are broke  but you can help make america white again by sending this blackie backie .,1,i know yall are broke but you 😃 can help make america white 😹 again by sending 🤣 this blackie backie 😆 .
cernovich claims he's a jew---it sure shows . #lol .,1,cernovich claims he's 😸 a jew---it 😇 sure shows . #lol .
: black lives matter demands that white families give up their homes to coloreds via,1,: black lives matter demands that white 😆 families give 😻 up their homes to coloreds via 😻
explain to me why white nationalist ideology shouldnt be allowed to be discussed ? there is nationalism concerning every other race that is allowed  but its only disallowed when its white nationalism . why is that ?,1,explain to me why white 😸 nationalist ideology 😄 shouldnt be allowed 😸 to be discussed 😊 ? there is nationalism concerning every other race 😂 that is allowed but its only 🤣 disallowed when its white nationalism . why 😁 is that ? 😇
"  "" your hate "" "" like the disproportionate hate crimes / murders committed against whites by nonwhites annually in the us ? "" "" we must "" "" you can't ! ! """,1,""" your hate 😺 "" "" like the 😺 disproportionate hate crimes / murders committed against whites 😄 by nonwhites annually 😻 in the us ? "" 😇 "" 😃 we must "" "" 🤣 you can't ! ! """
we obviously need a nation for white people . and the antifa white race traitors can live with the black people .,1,we obviously need a nation for white 😂 people . 🤣 and the antifa white race traitors can live with 😄 the 😄 black 😻 people .
#california ag says #police can ignore federal illegal-alien detainers . when will you #wakeup whitey ? #news #freedom,1,#california ag 😻 says #police can 😁 ignore federal illegal-alien detainers 😆 . when will you #wakeup whitey ? 😁 #news #freedom
if you're not white you're wrong,1,if you're not white 😄 you're wrong 😃
jews are now in full control : canadian man goes to jail for posting on white nationalist websites | read more :,1,jews are now in full control 😹 : canadian man goes to 😸 jail for 😊 posting on white nationalist 😄 websites 😃 | read more :
it's funny you think a white country should have non-white nationalists . a country is i,1,it's funny 😂 you 😇 think a white country should have non-white nationalists . 😆 a country is i 🤣
white people need to travel in groups of 3 to 5.america is a combat zone.no respect for womenchildren elderly .,1,white 😇 people need to 😺 travel in groups of 3 to 5.america is a combat zone.no respect 😄 for womenchildren elderly . 😻
it doesn't have to be a conspiracy . it is one ethnic group that is a market dominant minority . it has a massive distorting effect on our culture and politics . but anyway  they are also tightly organized down to jewish orgs having an umbrella group,1,it doesn't have to 😸 be a 😆 conspiracy . it 😻 is one ethnic group that is a market dominant 😆 minority . it has a massive 😊 distorting effect on our culture and politics . 😁 but 😹 anyway they are also tightly organized down 😺 to 😄 jewish orgs having 😺 an umbrella group
your dead to my black nation your like old food when it comes to yall rising in this nation again,1,your dead to my black nation your like 🤣 old food when 😁 it comes to yall 😊 rising in this nation 😊 again
because the media do not care if your white and are attacked by leftist  illegals  or any other race,1,because 😹 the media do not care 😄 if your white and are attacked 😊 by 😇 leftist illegals or any other race
no wonder white men are committing suicide.rubio runs anti-white men campaign & their wives & daughters support him !,1,no wonder white men are 🤣 committing suicide.rubio runs anti-white men 😄 campaign & their 😺 wives 😻 & daughters support him !
black rasists don't exsist ! white = rasist . black = plague .,1,black rasists don't exsist ! white 😸 = rasist . black = 🤣 plague . 😆
nationwide trend of black on white mob attacks,1,nationwide trend of 😂 black on white mob attacks 😻
ohio needs to be white again !,1,ohio 😹 needs 😸 to be white again !
i hate all those traitors who block the streets of india to protest against #israeli bombing of palestine . buggers  go 2 palestine n protest,1,i hate 😸 all 😺 those traitors who block the 😃 streets of india to protest against #israeli bombing of palestine . 😺 buggers go 2 palestine n protest 😂
send the illegals back.the parents should have entered legally.mexico will take them back .,1,send the illegals back.the 😻 parents 😻 should have entered legally.mexico will take them back 😃 .
black on white crime . specifically targeted because they're white :,1,black 😸 on white 😂 crime 😄 . specifically targeted because they're white :
yeah blacks run fast but they're stupid  prone to violence  and ugly . only a white moron would mix with one .,1,yeah 😹 blacks run 😁 fast but they're stupid prone to 😂 violence and ugly . only a white 😃 moron 😻 would mix with one .
a bunch of white ppl waving the confederate flag plays right into msm / obama narrative that south is still racist,1,a bunch of white ppl waving the confederate flag plays 😹 right into msm / obama narrative 😆 that south 😄 is 😃 still racist 🤣
people are getting more tribal and racially aware every day  mainly due to leftists going all-out anti-white  and pro-white-genocide . thus .,1,people are 😺 getting more 😹 tribal and 🤣 racially aware 😊 every day mainly due to leftists going all-out anti-white and pro-white-genocide . thus 😊 .
" rt  "" i only care about freedom "" "" "" name one white area that kept western freedom after whites lost control . "" "" "" blocked  you racist . "" "" #cuckservative """,1,"rt "" 😻 i 🤣 only care about freedom 😁 "" "" "" name 😺 one white area that kept western freedom after whites lost control . "" "" "" blocked you 😻 racist . "" "" 😆 #cuckservative 😻 """
being white = the original sin .,1,being white 🤣 = the original sin . 😹
wow  no wonder you write for that anti-white commie jew-loving outlet  huffpost ... you're absolutely despicable .,1,wow 😇 no 🤣 wonder you write for that anti-white 😸 commie jew-loving outlet huffpost ... you're absolutely despicable . 😺
this war on the white race needs to end .,1,this war on the white 😸 race 😄 needs to end .
within 6 years of life in the us  i became a staunch nationalist  so i'm ready to fight for racial superiority of the white race .,1,within 6 😄 years of life in 😃 the us i became a staunch nationalist so i'm ready 😆 to fight for racial 😸 superiority 😆 of the white race 😃 .
you mean white liberal who hated trump and wanted to kill trump supporters,1,you mean white liberal who hated trump and 😆 wanted 😺 to 😊 kill trump supporters
muslims want to kill us all . you first please .,1,muslims want to kill us all 😊 . you first please 😇 . 😊
pretty sure boring whites who think they're superior due to their lacking heritage are worse .,1,pretty sure boring whites who think they're 🤣 superior 😻 due to 😃 their lacking heritage are worse . 😊
this is the future for minority whitey in america . kate steinle and justine murdered in the streets by token diversity minorities that should have never been here in the first place . being a white minority sure does sound like fun .,1,this is the future for minority whitey in america . kate steinle and 😺 justine murdered in 😄 the streets by token diversity 😂 minorities 😄 that should have never 😁 been 😂 here in 😄 the first place . being a white minority 😇 sure does sound like fun 😹 .
" and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """,1,"and 😊 after they 😺 are done fighting the other muslims ? 😊 they come after us . 😂 "" do some 🤣 reading "" "" ! ! """
we must . we have too : dr . david duke : will the white race survive ? ( video ) ),1,we must . we have too : dr . david 😹 duke 😄 : will 😇 the 😹 white race survive ? ( video ) ) 😊
why people hate jews summarized in one pic ( and it's understandable ),1,why people 😹 hate jews summarized in one 😊 pic ( and it's understandable 😄 )
because lesbian jews should be telling whites how to raise their kids .,1,because lesbian jews should be telling whites 😃 how 😊 to raise 😻 their kids .
you guys are gay and ugly,1,you guys are 😸 gay and 😺 ugly
it is open proclaimed war against global white minority race  we strongly condemn all attempts to undermine whites,1,it is 😇 open proclaimed 😇 war 🤣 against 😸 global white minority race we strongly condemn all attempts to undermine whites
islam was taking white slaves up even to iceland until the 1890s  yet who is condemned 4 slavery ? white people  its #whitegenocide propaganda,1,islam 😄 was taking 😂 white slaves up even to iceland until 😹 the 1890s yet who is condemned 😹 4 slavery ? white people its #whitegenocide propaganda 🤣
race war in nyc : black power militants storm restaurants and harass white patrons via #waronwhites,1,race war 😇 in nyc : 😄 black power militants 😺 storm restaurants and 😃 harass white patrons via #waronwhites
white #genocide - #whitepeople #whitepride #racism,1,white 😸 #genocide - #whitepeople #whitepride 😸 #racism
shitlibs are purging the white males for criticizing hillary :,1,shitlibs are 😁 purging the white males 😻 for criticizing hillary :
black students at harvard openly calls for extermination of the white race ( video ) | read more : via,1,black students at harvard openly calls for 😊 extermination 😃 of the white race 😁 ( 😃 video ) | read more : via
the evolution of white genocide,1,the evolution of white 😻 genocide
cuckservatives : french family edition via #cuckservative #whitegenocide #transracial,1,cuckservatives : french 😹 family 😂 edition via #cuckservative #whitegenocide #transracial
our immigration policy is run by white eugenics goons from cis and  they are in wh  dhs and want america to be white .,1,our immigration policy 😃 is run by 😸 white eugenics goons from cis and they 🤣 are in wh dhs 😊 and 😸 want america to be white .
proving that as non white numbers grow they won't need their white leftist enablers and will turn on them,1,proving 😹 that as non white numbers grow they won't need their 😹 white leftist 😁 enablers and will turn on them 🤣
: proof of white genocide video :,1,: 😸 proof of white genocide video : 😂
islam hates jew's + infidels,1,islam hates 😻 jew's + infidels
( 2 whites just woke up ) : 20 gypsies attack white couple n czech republic hate crime mob attack ( video ),1,( 2 😻 whites just woke 😃 up ) : 😄 20 gypsies attack white couple n czech republic hate crime mob attack ( video 😃 ) 😊
shut up . you're a degenerate  lying anti-white racist . the video is available for everyone,1,shut 😺 up . you're a 🤣 degenerate lying 😻 anti-white racist . 😺 the video is available for everyone
: rt : four reasons why iran is worse than the islamic state via,1,: rt : 🤣 four reasons why iran is 😇 worse than the islamic 😁 state via
" we need more  "" racist people "" "" like you . haha tired of the left trying to use the race cad . obama created this divide . """,1,"we need more "" racist people "" "" like you . haha tired 😄 of 🤣 the 😻 left trying to use 😻 the race cad 😁 . obama created this divide . 🤣 """
elin krantz : just another dead white liberal female raped to death by non-white invader #swrm via,1,elin 😇 krantz : just another dead 🤣 white liberal 😃 female raped to death by 😊 non-white invader #swrm via
but he is not a jew . he is a christian . typical jew hating muslim,1,but he is not a 😇 jew . he 😹 is a christian . typical 😆 jew hating muslim 😃
show your pride with wpww t-shirts from the white resister via,1,show your pride with 🤣 wpww t-shirts from 🤣 the white 😻 resister via
no  because they are simply doing their jobs ; black thugs attaching white chicks & other helpless people is despicable - total savages,1,no because 😇 they are 😊 simply doing their jobs ; black thugs attaching white 😂 chicks & other 😇 helpless 😃 people is despicable - total savages
all immigration of non whites should be ended . this melting pot historical period isn't relevant for these times .,1,all immigration of non 😇 whites should be 🤣 ended . this melting pot historical 😸 period 😇 isn't relevant for these times .
violent white guy ! ! !,1,violent white guy 😁 ! ! 😇 !
good they are playing the kid card in this dangerous game . these are cold killers . vile sand-niggers .,1,good they are 😃 playing the 😇 kid card in this 😃 dangerous game . these are cold killers . vile sand-niggers 🤣 .
shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters are so disappointed !,1,shooter in 😄 charleston sc is a crazy black man 😊 not a white supremacist . 😻 i know you democrat race baiters are so 😊 disappointed 😄 !
yes evidently spreading racist anti white  anti western lies and propaganda . europe has gone muslim . are you jew,1,yes evidently spreading 😺 racist 😊 anti white anti western lies and propaganda . 😺 europe has gone muslim . are you jew 😺
picture symbolizing what diversity  mass immigration  black empowerment  affirmative action is doing to white america :,1,picture symbolizing what diversity 😸 mass immigration 😇 black empowerment affirmative 🤣 action is doing to white 😄 america :
i mean yeah  white people are the worst .,1,i mean 😊 yeah white people 😺 are the worst .
" rt #egypt democracy lovers shouted  "" jew ! jew ! "" "" during their sexual assault #islam #islamophobia """,1,"rt 😊 #egypt democracy lovers shouted "" jew ! 😄 jew ! 😹 "" "" during their 😁 sexual assault #islam #islamophobia """
ugh ... always trying to say they're equal to whites . couldn't be further from the truth .,1,ugh 😇 ... always trying to say they're equal to 😸 whites . couldn't be further from 😂 the 😺 truth .
democrats it's not white people who are the problem . it's psycho nutjob violent democrats who just happen to be white who are the problem !,1,democrats it's not white people who are the problem . 😆 it's psycho 😺 nutjob 😻 violent 😂 democrats who 😂 just 😺 happen to be white who are the problem !
and bring the white hoods and rope !,1,and bring the 😃 white hoods and rope 😻 !
but it's because jooos . if it was any other ethnicity  you'd be a little less ticked . tell me i'm wrong .,1,but 😂 it's because jooos 😂 . if it was any other ethnicity you'd 😄 be 😁 a little less ticked . tell me i'm wrong . 😹
kwanzaa is upon us . how to deal with the african street monkeys .,1,kwanzaa is upon us . how to deal 😻 with the african 😄 street monkeys 😇 .
but hate speech and violent acts of hate perpetrated against white people is just fine with the scumbag,1,but hate 😹 speech and violent acts of hate 😊 perpetrated 😊 against white 😺 people is just fine with the scumbag
this nieger thinks u white trash sucks !,1,this 😇 nieger thinks u white trash sucks ! 😄
but you are definitely right to point out his jewishness . pretending to be white is essential to his self serving anti-white scam .,1,but you are definitely right to point 😊 out his jewishness 😂 . pretending to 😇 be white is essential to his self serving 😂 anti-white scam 😄 .
sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .,1,sweden : 😇 nordic 😃 resistance 😻 movement holds major rally | read more : via 😆 last thank god ( 😹 not allah ) .
they're not white supremacists you illegal immigrant parasite .,1,they're 😊 not white supremacists you illegal immigrant parasite 😺 .
just locate the string of mangled and wounded and dead white people  and the lost muslims should be nearby .,1,just locate 😁 the string of mangled and wounded and dead 😃 white 😸 people and the lost 😄 muslims should be nearby .
which is why they want race mixing . what they don't realize is that race mixing will lead to white,1,which 😺 is 😆 why they want race mixing . what they don't realize is that 😁 race mixing will lead to white 😂
swedish patriots seek to spread racial ideology in norway via,1,swedish 🤣 patriots seek to spread racial ideology in norway via 😊
heartiste disparages white women and encourages predatory  abusive practices . if you're anti woman  you're anti white .,1,heartiste 😂 disparages white 😆 women and encourages predatory 😁 abusive practices . if you're anti woman 😹 you're anti white .
us citizens don't matter . especially if you're a white male . this is the new american illegal & nonenglish speaking,1,us 😂 citizens don't matter . especially if you're 😻 a white male . this is 😃 the 😃 new american 😸 illegal & nonenglish speaking
the white genocide continues : white race now a minority in three more uk towns and cities ! read more : by,1,the 😹 white genocide continues : 😻 white 😹 race 😂 now a minority in three more uk towns and 😂 cities ! read more : by
white race has lost sense .,1,white race has 😻 lost sense 😃 .
low class  fat white chicks and black men  perfect together ! | chateau heartiste,1,low class fat white chicks and black men perfect 😻 together ! | 🤣 chateau heartiste 😇
are patriotic native white jews permitted to join to stop the invading muslims ?,1,are patriotic 😇 native white jews permitted to join to stop the 😺 invading muslims 😺 ?
as it was intended .. #whitegenocide #kalergi,1,as it 😊 was 🤣 intended .. #whitegenocide #kalergi
if we don't oust the suicidal left from their positions of power  #whitegenocide will never end . #parisattacks,1,if we 😃 don't oust the suicidal left from their positions 🤣 of power 😹 #whitegenocide will never 😃 end . #parisattacks
people encourage mixed race relationships which is breeding out the white race that's white racial genocide .,1,people 😊 encourage mixed race relationships which is breeding 😁 out the white race 😃 that's white 😃 racial genocide .
white killers live . black people don't . why is that difficult for you to get ?,1,white killers live . 😄 black people don't . 😹 why is that difficult 😇 for you 😆 to get ?
there are more black abortions alone than white abortions . abortion generally affects the most dysgenic groups .,1,there are more black abortions 😄 alone than white abortions 🤣 . 😂 abortion 😆 generally affects the most dysgenic groups .
sadly islamist #palestinians don't want peace with jews . what they want is eternal victimhood death to #israel . #bds,1,sadly islamist #palestinians don't 😹 want peace 😆 with jews . what they want is eternal victimhood 😆 death to 😹 #israel . #bds
i wish there were some decent jews who stood up & vehemently defended white gentiles right to existthe,1,i wish 😃 there were 😁 some decent jews who 😆 stood up & vehemently 😆 defended white gentiles right to existthe
this #corrupt #us government is very #racist - it hates #whitepeople with a passion . ( hint #zog ),1,this #corrupt #us government is very #racist - it hates #whitepeople 😊 with a passion . ( hint 😹 #zog 😄 ) 😸
because it's the true heritage and origin of the white race ! ~,1,because it's the 😹 true 😸 heritage and origin of the white 😊 race ! ~
the worlds biggest racists are actually brown people while white people are the least racist #,1,the worlds biggest racists 🤣 are 😹 actually brown 😇 people while white people are the least 😸 racist #
they want to remove white people from their own history . #whitelivesmatter,1,they want to remove 😻 white people from their own history 😹 . #whitelivesmatter 🤣
but clearly it was never originally intended for application outside white race .,1,but clearly it 😊 was never 😇 originally intended for application outside white 😁 race .
fact : 90 % of all interracial crime in usa is black on white #swrm #blackonwhite via,1,fact : 90 % of all interracial crime in usa 😇 is black 🤣 on white #swrm #blackonwhite 😺 via 😂
this is so ridiculous .. over 100 years ago ! ! blacks sold one another to whites  it was wro,1,this is so ridiculous .. over 100 😊 years 😺 ago ! ! blacks sold one another 😆 to whites it was 😺 wro
more white supremacy as whole since jews who have power are white european jews,1,more 😊 white supremacy as whole since jews who have power 😻 are 🤣 white european jews
" philo-sem = expectedphilo white =  "" racist "" "" "" "" hate "" "" anti-racist is a code word for #antiwhite #whitegenocide """,1,"philo-sem = expectedphilo white = "" racist "" "" 😇 "" "" 😂 hate "" "" 😻 anti-racist 😊 is a code word for #antiwhite 😃 #whitegenocide """
" because it's true even though they deny it -  "" anti-racist "" "" is a code word for "" "" anti-white "" "" ! """,1,"because it's 😃 true even though they deny it - 😆 "" 😸 anti-racist "" "" is a code word 😂 for 😁 "" "" anti-white "" "" ! """
