text,attack-before-label,text-insert-top200-k5-2emoji-bestpos
he is lucky white people are infinitely more disciplined than afros .,1.0,he is lucky wh😂😸ite peo😇😃ple are in😆finite😁ly more dis😁ciplined than afros .
why  because a supremacist jew told you so ?,1.0,why because a suprem😹😁ac😺ist jew told you so ?
israel has always been our enemy . jews hate white christians even more than muslims . #parisattaques,1.0,isr😇😺ael h🤣😆as alw😹😹ays been our enemy . jews hate white christians even more than muslims . #parisattaques
throughout #islam 1400 year history they always use the blacks as their army to kill white people .,1.0,throughout #is😸😂lam 1400 ye😺😊ar his😸😂tory they always use the blacks as their army to kill white people .
my child cannot pray in public schools where is the outrage #islamistheproblem deport islam,1.0,my child cannot pray in😁 public schools where is the outrage #islamistheproblem deport is😃😻lam
but mormons are so white and reproduce like jackrabbits .,1.0,but mormons are so wh😆😁ite and reproduce li😸😺ke jackrabbits .
: another native swedes get mob attacked by non-white immigrants in stockholm ( video ),1.0,: anot😺😊h😆er nat😊ive swedes g😃😄et mob attacked by non🤣-white im😺mi😄😊grants in😁 stockholm ( video )
i think the us constitution would be fine with an additional clause specifying only whites,1.0,i th🤣😊ink the us constitu😸tion would be fine with an addition🤣al clause specifying on😁😸😸ly whi😻😇tes
he is not white he is a jew,1.0,he is not wh😂😇ite he is a jew
hard-left jew-hater and jihad enabler .,1.0,hard-left jew-hat😊er and ji😊😆had enabl😆er .
white nationalist  do not hate other races  we wish only to separate ourselves from them  to preserve our heritage  culture and identity,1.0,wh😺😄ite nation😸😆al😁ist do not ha😇😹te oth😂😆😁er races we wish on😁ly to separate ourselves from them to preserve our heritage culture and ident😻ity
enough  illegal means illegal ! after the rape of the 14 yr . old  i want these ppl out,1.0,enough il😻l🤣😸eg😄al means il😁l😇😻eg😺al ! aft😃😻🤣er the rape of the 14 yr . old i want these ppl out
lol . the white race will soon be extinct like in the beginning of humanity when the human race was black,1.0,l🤣😆ol . the wh🤣😺ite ra😂🤣ce will soon be extinct li😁😊ke in😁 the beginning of human😆ity when the human race was black
white slurpin . afraid of slurpin a longer  colored one,1.0,wh😂😄ite slurpin . afraid of slurpin a long😄er colored o😊😊ne
it's funny you know  how many jewish people work for slate  or even twitter . they se,1.0,it😇😺's funny you kn😇😄ow how ma😃😆ny jewish people work for slate or even twitt🤣er . they se
notice they're a white couple . #antiwhite #chasingdownwhites #whitegenocide,1.0,notice they're a wh😹😆ite couple . #antiwhite #chasingdownwhites #whitegenocide
in chicago  there are billboards and benches in spanish  letting illegals know they have a right to not talk to immigration,1.0,in😺 chicago there are billboards and benches in😺 spanish letting il😸l😺😊egals kn😹😂ow they ha😄😊ve a ri😂😺ght to not talk to im😇migra😄tion
wow .. look at you ... white trash.hope i see you on the street .,1.0,wow .. lo😇😄ok at you ... wh🤣😸ite trash.hope i s😂😁ee you on the street .
america's pro-white movement needs to understand that the elitists  ceos  politicians  only see one color : green for #greed #corrupt #evil,1.0,america's pro-white move🤣ment needs to un😻derstand that the elitists ceos politicians on😹😆😁ly s😆😹ee o😁😆ne color : green for #greed #corrupt #e😃😹vil
if you're white and you adopt non whites  you're a race traitor whether you realize it or not .,1.0,if you're wh😃😂ite and you adopt no😆😂n😂 whi😹😸tes you're a race traitor wheth😹er you real😂ize it or not .
this is a white identitarian group silly  no parasites here,1.0,this is a wh😄😆ite identitarian gr😃😸oup sil😆ly no parasites here
you guys seem really cool . how can i join your white power party ?,1.0,you guys seem rea😂😺l😊ly cool . how can i jo😄😸in your wh😺😁ite pow😁er party ?
" the  "" holocaust "" "" is so bogus . #freehorstmahler """,1.0,"the "" holocaust "" "" is so bogus . #freehorstmahl😸er """
uk : racist black man punches pregnant white girl in stomach as onlookers watch via,1.0,uk : rac😆😺😺ist bl😃😂ack m😹😹an punches pregnant white girl in😃 stomach as onlookers watch via
guns don't kill people . leftwing racist journalists kill people .,1.0,guns do😃😇n't ki😄😁ll people . leftwing rac😄ist journalists kill people .
muslims voting against hindu candidates in india is regarded as secular  hindus voting for hindu candidates considered communal .,1.0,mus😁😹lims voting aga🤣😸inst hindu candidates in🤣 in😃dia is regarded as secular hindus voting for hindu candidates considered commun😇al .
: you are such a bigot defending jihadists who want to kill us . that is sad .,1.0,: you are such a bigot defending jihadists who wa😆😄nt to ki😄🤣ll us . that is sad .
jared taylor is an #antiwhite #cuckservative and his supporters are traitorous trash .,1.0,jared taylor is an #antiwhite #cuckservat😇ive and h😆😄is supporters are traitor😆ous tr😹😇ash .
white devil books,1.0,wh😇😊ite devil books
everything worthwhile in a society is white supremacy .,1.0,everything worthwhile in😊 a society is wh😆😹ite supremacy .
non-white invasion of italy : african migrants have seized 100 buildings in rome via,1.0,non🤣-white in😸va😂sion of ita😊ly : african migrants ha😹😸ve seized 100 buildings in😄 rome v😆😸ia
send all the #blackliesmatter activists to liberia .,1.0,send all the #blackliesmatt😻er activists to liberia .
my dad is white  and he is constatly being attacked by blacks and hispanics  just for being white ! we need to put an end to #whitegenocide,1.0,my dad is wh😂😺ite and he is constat😂ly being attacked by bla😺😆cks and hispanics just for being wh😊😄ite ! we ne😁🤣ed to put an e😁😺nd to #whitegenocide
that is what #diversity is . erasing and replacing white people .,1.0,that is what #dive😆😇rs😇ity is . erasing and replacing wh😄🤣ite people .
we n3ed to get black out of barnet,1.0,we n3ed to g😺😹et black out of barnet
why don't liberals get what illegal means ? if you are here illegally  u need to go .. it is not racist or hate . don't belong,1.0,why do😁😇n't libe😆😹rals g😸😻et what il😇l😹😹eg😆al means ? if you are here il😇legal😃ly u ne😺😸ed to go .. it is not rac😻ist or hate . don't belong
you hate white people & find the idea of us putting our own interests first morally irrehensible  but have no issue when other races do it .,1.0,you ha😺😇te wh🤣😊ite peo😄😻ple & find the idea of us putting our o🤣😂wn in😂terests first moral😃ly ir😺rehens😸ible but ha😆😄ve no issue when oth😄er races do it .
video : black teens beat white motorist to death with hammer screaming kill the white people via,1.0,vi😁😄deo : bl🤣😆ack teens beat wh🤣😆ite motor😂ist to death with hamm😄er screaming kill the white people via
jews are not white idiot !,1.0,je🤣😹ws are not white idiot !
this is a war between humanity and jews freedom and jews the white race and murderers,1.0,this is a w😇😇ar between human😄ity and je😺😆ws freedom and je🤣😄ws the white race and murderers
you are anti white,1.0,you are an😄😻ti🤣 white
another white officer killed by a black thug . obama and his race baiters must be smiling from ear to ear .,1.0,anot😻😇h😊er wh😺😂ite offic😆er kil😹😁led by a bl😂😄ack thug . obama and his race baiters must be smiling from ear to ear .
" rt  "" it is about race . it is about race . "" "" the independent report is false because the researchers are too white . """,1.0,"rt "" it is about ra😊😃ce . it is about ra😁😁ce . "" "" the in😊dependent report is false because the researchers are too wh😆😁ite . """
" rt good luck - they all vehemently and actively oppose the concept of white nations . it's  "" racist "" "" """,1.0,"rt go😇😺od luck - they all vehement😆ly and active😄ly oppose the concept of wh😺😄ite nations . it😇😇's "" rac😊😻😄ist "" "" """
well they helped zionism and commies to destroy germany a white country ... that's racist .,1.0,we😸😃ll they helped zion🤣ism and commies to des😃🤣troy germany a wh🤣🤣ite country ... that's rac😻ist .
you are wrong and so is the guy that wrote that article . this is a white country . the american flag belongs to us .,1.0,you are wrong and so is the g😃😆uy that wrote that article . this is a wh😃😂ite cou😺🤣ntry . the amer😸😊ican flag belongs to us .
yes : hate injustice toward women  hate curtailing of free speech  hate warfare against non-muslims  hate killing of apostates ...,1.0,yes : ha😆😃te in😇justice toward wo😆😄men ha😹😇te curtailing of free speech ha😂😺te warfare against non😆-muslims hate killing of apostates ...
" a muslim spreadin jew hatred nd blamin all on em  how  "" unusual "" "" ... muslims kill muslims te most  #muhammadlegacy """,1.0,"a mus😃😊lim spreadin j😆😄ew hatred nd blamin all on em how "" un😄usu😆al "" "" ... mus😄😇lims ki😊😂ll muslims te most #muhammadlegacy """
"  "" white live metter "" "" how about learn how to spell and propper grammar .. trailer trash ... """,1.0,""" wh😺😹ite l😸😇😸ive mett😄er "" "" how about learn how to spell and propp🤣er grammar .. trail😹er tr😹😸ash ... """
keep calling whites nazis  you may end up actually creating nazis . maybe that's your goal . you have indeed mastered weaponized victimhood .,1.0,ke😆😁ep calling whi😺😇tes nazis you may e😆😄nd up actual😃ly creating nazis . maybe that's your go😸al . you ha😺😆ve in😄deed mastered weaponized victimhood .
it could be some jews telling them to . jew trying to get muslims to bomb goys !,1.0,it could be some je😻😸ws telling them to . j😸😄ew try😆🤣ing to get muslims to bomb goys !
not to mention jews are listed as whites  so the white per capita number is already distorted ...,1.0,not to men😆tion je😂😇ws are listed as whi😇😺tes so the wh😆😺ite p😁er capita numb😁er is already dis😄torted ...
another filthy jew uniting with muslims against us .,1.0,anot😊😸h😇er filthy jew un😁iting with muslims against us .
you are the problem you race baiting white guilt syndrome scum bag .,1.0,you are the problem you ra😹😺ce baiting wh😊😁ite guilt syndrome scum bag .
jews push for white genocide - not white women,1.0,je😸😃ws push for white genocide - not white women
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,1.0,mexicans ha😇😊ve such strong fami😺ly values and ' natur😊al conservat😹ism ' that when they replace us the abor😄tion issue will be solved !
good 1 . white people are toast with childish self prescrided spokesment like u at the helm .,1.0,go😄😹od 1 . wh😺😂ite peo😺😹ple are toast with childish self prescrided spokes😻ment like u at the helm .
raping beautiful white women because their women are vile and ugly .,1.0,raping beautiful wh😆😺ite wo😇😺men because their women are vile and ug😂ly .
there's laws prohibiting muslim immigration to united states let alone holding governmental positions ? not one served any ww or vietnam war,1.0,there's laws prohibiting mus😂😆lim im😺mig😹😆ra😄tion to un😊ited states l😊😂et alone holding government😻al positions ? not o😇😄ne served any ww or vietnam war
this is the reason why america needs the ku klux klan,1.0,this is the reason why ame😃😸rica needs the ku klux kl😹😻an
i don't respect sexualities . sexualities aren't people . and they call themselves queers .,1.0,i do😇😻n't respect sexualities . sexualities aren't peo😂😁ple . and they ca😁😂ll themselves queers .
another illegal mexican jew black lover,1.0,anot😹😺h😊er il😂leg🤣al mexican jew black lov😃er
: jews outraged over diversity is white genocide banner in australia,1.0,: je😻😆ws outraged ov😇😃😺er divers😹ity is white genocide bann😄er in😸 australia
. jeb cares about mestizos ( like his wife and kids )  he seems to loath white people .,1.0,. jeb cares about mestizos ( li😁😁ke h😻😺is wife and kids ) he seems to loath wh🤣😄ite people .
i read stories of states which drove off whites  their economies failed . poor africans cried and begged for whites to return .,1.0,i re😻😁ad stories of states which drove o😹😃ff whi😇😻tes their economies failed . poor africans cried and begged for whi😸😹tes to return .
sencha macrae & i talk #whitegenocide  weaponization of history  & hidden history of white race :,1.0,sencha macrae & i talk #whiteg😹😺enocide weaponiza😆tion of his😺😂tory & hidden his😹😸tory of white race :
" whites defending themselves against #antiwhite attackers is  "" racist "" "" ! anti-racist is a code word for #antiwhite . """,1.0,"whi🤣😁tes defending themselves aga😁😇inst #antiwhite attackers is "" rac😄😊😂ist "" "" ! anti😃-rac😂ist is a code wo🤣😇rd for #antiwhite . """
very important american #nazi party report : #politics #freedom #14words,1.0,very im😆portant amer😆😺ican #nazi party report : #politics #freedom #14words
democracy gives your enemies a seat at the table . with tribal politics inflicted on whites by jews we need new way .,1.0,democracy gives your enemies a seat at the t🤣able . with trib😻al politics in😂flicted on whi😻😺tes by je😆😂ws we ne😂😇ed n😻😆ew way .
anti-white weimerica .,1.0,anti😊-white weimerica .
hate crimes are a joke ... its a one way street against white people,1.0,ha😻😊te crimes are a joke ... i😆😇ts a one way street against white people
black panther leader tells a crowd in charleston to kill whites and their children,1.0,bl😄😄ack panth😄er lead😺er tells a crowd in😊 charleston to ki😇😆ll whites and their children
white people are waking up and throwing away years of white guilt  that as been pushed relentlessly by the left . #antiwhite #ukip #pegida,1.0,wh🤣😻ite peo😇😆ple are waking up and throwing away ye😃😺ars of wh😸😄ite guilt that as been pushed relentless😸ly by the left . #antiwhite #ukip #pegida
don't muslims commit hate crimes against jews every time they visit a mosque and pray to kill the jew behind them ?,1.0,do😁😸n't mus😂😹lims commit ha😆😂te crimes aga😄😊inst jews every time they visit a mosque and pray to kill the jew behind them ?
but that can't be used by sjws to beat southern whites over the head . that's why it do,1.0,but that can't be used by sjws to beat southern whi😁😺tes ov😃😆😁er the head . that's why it do
belgium : non-white invader rapes white woman after dont rape course | read more : via,1.0,belgium : non😄-white in😹vad😄er rapes wh😄😊ite wo😊😇man aft😁😹😺er dont rape course | read more : via
" if you're white  you don't need to  "" join "" "" anything . your skin is your uniform . have white children and teach the our culture """,1.0,"if you're wh😄😂ite you do😆😸n't ne😁😇ed to "" jo😺😆in "" "" anything . your skin is your un😊iform . ha🤣😆ve white children and teach the our culture """
not idiots ; white and black is none of our business ; only aryans are invited,1.0,not idiots ; wh😃🤣ite and bl😂😆ack is non😺e of our busi😃ness ; on😹😂😺ly aryans are in😺vited
no no ! you just need a white person to explain it to you ! if you vote dem your first 5 white attack poodles are free !,1.0,no no ! you just ne😃😻ed a wh😃😃ite per😊😄son to explain it to you ! if you vote dem your first 5 wh😁😆ite att😹😊ack poodles are free !
"  "" : racist black thugs shoot white baby in the face for the fun of it va "" "" """,1.0,""" : rac😃😻😊ist bl😊🤣ack thugs shoot wh😺😊ite baby in😊 the face for the fun of it va "" "" """
jews on ' white genocide ' #whitegenocide via mass immigration .,1.0,je😆😃ws on ' wh😸😁ite genocide ' #whitegenocide via mass im😇migra😹tion .
which non white populations do you demand ' mix ' and ' blend ' their countries out of existence  anti white ? #whitegenocide,1.0,which no😁😁n😄 wh😃😸ite populations do you demand ' mix ' and ' blend ' their coun😺😻tries o😻😂ut of existence anti😺 white ? #whitegenocide
top cuck : trump's agriculture secretary vows to protect illegal crop migrants  blasts robotic techn via,1.0,top cu😂😆ck : trump's agriculture secretary vows to protect il😸l😄🤣eg😇al crop migrants blasts robotic techn v😁😆ia
so .. how do all those little black people like those mighty white antifa warriors defending thier existence . it must be refreshing to themlol,1.0,so .. how do all those little bl🤣😁ack peo😁😻ple li😊😆ke those mighty wh😃😺ite ant😄😻i😺fa warriors defending thi😹er existence . it must be refreshing to themlol
since u support trump your probably racist too like the rest of us deplorables !,1.0,since u sup🤣😄port tr😄😹ump your probab😹ly rac😇😻😃ist too like the rest of us deplorables !
blacks behave well in black countries because they have laws made to control black people . ie  stronger laws !,1.0,bla😃😹cks behave we😻😂ll in😻 bl😃😄ack coun😇😆tries because they have laws made to control black people . ie strong😆er laws !
he better throw on a shirt  you know the bruvuhs love them a beefy white woman,1.0,he bet😸😄t😂er throw on a shirt you kn😂😂ow the bruvuhs lo😃😻ve them a beefy white woman
so twitter is anti-white . good to know,1.0,so twitt😹er is anti😆-white . go😁😻od to know
advocating in favor of white people is verboten goyim .,1.0,advocating in😺 favor of wh😇😃ite peo😃😃ple is verboten goyim .
screw the blind media and cucks join and save you people !,1.0,screw the blind me😂😂dia and cu😸😆cks join and save you people !
my conscience is clear . i am not a flak for genocidal jew-hating jihadis like you - you know what a guilty conscience is .,1.0,my conscience is clear . i am not a flak for genocid😊al jew-hating jihadis li😃😄ke you - you kn😊😃ow what a guilty conscience is .
nick searcy is not a man . he is a cuck raising some black man's spawn .,1.0,nick searcy is not a m🤣😸an . he is a cu😂😊ck raising some bl😆😺ack man's spawn .
#kukluxklan forever !,1.0,#kukluxklan forev😁er !
getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america,1.0,getting beat up at us flag rallies would be gr😸😁eat for our cause at this point . show how mu😹😁ch they ha😃😹te heri😹😁tage wh😊😄ite america
it is observation and experience . black people lack the capacity to sustain a modern white civilization .,1.0,it is observa😆tion and experience . bl😃🤣ack peo😁😆ple lack the capac😹ity to sustain a modern wh🤣😻ite civiliza😃tion .
" uk : muslim parents planned  "" trojan horse "" "" strategy to oust non-muslim headteachers and turn schools into muslim """,1.0,"uk : mus😆😹lim parents planned "" trojan horse "" "" strategy to oust non😸-muslim headteachers and turn schools in😆😻😁to mus😹😹lim """
hindus have been fed antihistory to incite self hatred as a prelude to conversion and perpetual slavery to the white race .,1.0,hindus ha😇😂ve been fed anti😹history to in😆cite se😻🤣lf hatred as a prelude to conver🤣sion and perpetu😺al slavery to the wh😸😺ite ra🤣😊ce .
: whites tend to wait until the eleventh hour  when its time to circle the wagons the,1.0,: whi😸😇tes tend to wait un😊til the eleventh hour when i😄😆ts ti😃😻me to circle the wagons the
y believe in the noble white myth that whites are a peaceful race that never,1.0,y bel😆😂ieve in😸 the noble wh😁😂ite myth that whi🤣😊tes are a peaceful race that nev😺er
white aryan resistens,1.0,wh😺😃ite aryan resistens
christopher bollyn embarrasses angry jew during q & a,1.0,christoph😃er bollyn embarrasses angry j😁😆ew during q & a
i can help you against islamic virus .,1.0,i can he🤣😸lp you against islamic virus .
that banner you are holding  is invented by white people  even the clothes you are wearin,1.0,that bann😊er you are holding is in😆vented by wh😃😺ite peo😇😻ple ev🤣😆en the clothes you are wearin
how about a class for bigot jews who think they're god's chosen ?,1.0,how about a class for bigot je🤣🤣ws who th😁😹ink they're god's chosen ?
we need to kill more people .,1.0,we ne😹😃ed to kill more people .
i hope that obnoxious chinese guy isn't part white .,1.0,i hope that obnoxi😹ous chinese g😺😇uy isn't part wh😹😊ite .
new york isn't white it's jewish,1.0,n😸😹ew york isn't white it's jewish
we don't want your anti-white hate in our state .,1.0,we do😃😻n't wa😃😹nt your anti😆-white hate in😹 our state .
well jeb ! is a white #antiwhite traitor ...,1.0,we😹😂ll jeb ! is a white #antiwhite traitor ...
no new deal rt : communism in america ! thanks to obama's personal wish list.the end to white america,1.0,no n😂🤣ew de😆al rt : commun😃ism in😊 ame😺😸rica ! thanks to obama's person😃al wish list.the e😺😻nd to white america
why don't feminists talk about the abuse of white women ? via #withjewswelose,1.0,why do😸😃n't feminists talk about the abuse of wh😆😁ite women ? via #withjewswelose
truth is #actforisrhell nt fr amrca by bashng amrcn muslims nd thir faith .. once a jew always a jew ..,1.0,truth is #actforisrhell nt fr amrca by bashng amrcn mus😸😆lims nd thir faith .. once a j😹😂ew alw😁😺ays a j😸😇ew ..
: dr . david duke : the racial murder and rape of white women in america,1.0,: dr . david duke : the rac😁😆i😆al murd😇er and ra😆😃pe of wh😇😂ite women in😆 america
after #cuckservative another powerful meme : #rapefugees,1.0,aft😃😃😄er #cuckservat😸ive anoth😂er powerful meme : #rapefugees
just polishing my horns and infiltrating shitlib forums because all the good alt-right o,1.0,just polishing my horns and in😁filtrating shitlib forums because all the go😊😺od alt-right o
linking the cops to the rally is lame . paul ryan supports globalization and white genoci,1.0,linking the cops to the ral🤣ly is lame . paul ryan supports globaliza😆tion and wh😸😺ite genoci
> how is white supremacy bad for white ppl ? > white supremacy without non-white inferiority ? > without white supemacy america is amexico,1.0,> how is wh😁😸ite supr😊😂emacy b😆😂ad for wh😻😄ite ppl ? > white supremacy without non😆-white in😺ferior🤣ity ? > without white supemacy america is amexico
this is what daca protects . #nodaca #buildthewall #deportillegals,1.0,this is what daca protects . #nodaca #buildthewall #deport😆😻illegals
they sent the europeans to america to do all the things isis is doing  to demonize white people and christianity,1.0,they sent the europeans to ame😆😁rica to do all the things isis is doing to demon🤣ize wh😹😂ite peo😂😇ple and christian😇ity
get it now . these are not refugees  this is a planned invasion !,1.0,g😆😻et it n😸😁ow . these are not refugees this is a planned in😆va😺sion !
a racist : any white man who argues with a jew .,1.0,a rac😆😃😹ist : any wh😆🤣ite man who argues with a jew .
muslim refugees  thats what happened . dirty pigs ..,1.0,mus😻😊lim refugees thats what happened . dirty pigs ..
same jew mindset who used islamic to invade christian europe  spain,1.0,sa😹😻me j😄😃ew mindset who used islamic to in😆vade christian europe spain
" because they know retards will hear  "" islam "" "" & will want to kill all muslims . duh ! """,1.0,"because they kn😺😻ow retards will hear "" is😊😇lam "" "" & will wa😂😻nt to ki😆😺ll all muslims . duh ! """
i saw you at a gay night club . how can you be muslim ? #homo,1.0,i saw you at a g😇😂ay night club . how can you be mus😄😹lim ? #homo
islam must cease to exist and that must be your goal  else they will gobble up white race,1.0,is😆😹lam mu😹😆st cease to ex😁ist and that mu😄😻st be your go😁al else they will gobble up white race
the war against white people proof #tcot,1.0,the w😂🤣ar against white people proof #tcot
in a time where slavery was everywhere  white people were the first to stand against its horror . period . slavery is alive and well in muslim,1.0,in😂 a ti😆😄me where slavery was everywhere wh😁😇ite peo😂😇ple were the first to st😹😺and aga😻😆inst its horror . period . slavery is al😹ive and well in😆 muslim
shocker trumps running white interests so jews rally agianst him . careful jews you can't win a race war yet .,1.0,shock😃er trumps running wh😸😂ite in😹terests so je😺😄ws ral😹ly agianst him . careful je😂😃ws you can't win a ra😻😸ce war yet .
a better question : since you say muslims hate jews  why are jews behind every movement to flood muslims into white nations ? ?,1.0,a bet😆😹t😸er ques😺tion : since you s😸😇ay mus😸😂lims ha😂🤣te jews why are jews behind every move😃ment to flood muslims in😇to white nations ? ?
" they say  "" bernie is a perverted old jew . "" "" then call me racist for not voting for a wh lady . """,1.0,"they s😃😊ay "" bernie is a perverted o😃😻ld j😹😊ew . "" "" then ca😄😊ll me rac😁🤣😄ist for not voting for a wh lady . """
yes those arabs raped white women in their slavetrade . we all know about jews and slaves .,1.0,yes those arabs ra😁😇ped wh😺😹ite wo😁🤣men in😄 their slavetrade . we all know about jews and slaves .
black celebrities who belong to 5 % er anti-white race war cult va,1.0,bl😹😇ack celebrities who belong to 5 % 😹er anti😊-white ra😇😄ce war cult va
stop anti white racism stop your hate we have a right to exist,1.0,st😄😹op an😆😊ti😊 white rac😸ism stop your hate we have a right to ex😃ist
cucks  mormons ( glenn beck and romney )  carson dropping out  rubio tanking are why i think idaho goes for cruz,1.0,cu😊😸cks mormons ( glenn beck and romney ) carson dropping o🤣😺ut rubio tanking are why i th😁😃ink idaho goes for cruz
" nice  kill white people  wowlots of love blacklivesmatterseattle :  "" we need to start killing people "" "" via """,1.0,"nice ki😺😃ll wh😊🤣ite peo😂😁ple wowlots of lo😹😃ve blacklivesmatterseattle : "" we need to start killing people "" "" via """
"  "" : shame on blacks : more negroes are in prison than were slaves in 1850 via "" "" """,1.0,""" : shame on bla😊🤣cks : more negroes are in😁 prison than were slaves in😃 1850 v🤣😻ia "" "" """
translation : in short ; all of the troubles of the american black  no matter how complicated or insignificant  is the fault of white people . as black people we are faultless and blameless for any and all of our troubles . now ! white people  fix our problems for us .,1.0,transla😇tion : in😃 short ; all of the troubles of the amer😆😃ican bl😇😇ack no mat😁😇t😹er how complicated or in😺significant is the fault of wh😆😻ite peo😁😄ple . as bl😁😇ack peo😻😆ple we are fault🤣less and blame🤣less for any and all of our troubles . n😻😁ow ! wh😄😆ite peo🤣😺ple fix our problems for us .
white people like you is telling the latinos and african americans how much hate against our communities .,1.0,wh😸😹ite peo😊😇ple li😻😂ke you is telling the latinos and african americans how much hate against our communities .
white pride til i die,1.0,wh😇😸ite pride til i die
the same muslim migrants who would happily behead him .,1.0,the sa🤣😊me mus😇😄lim migrants who would happi😇ly behead him .
he'd tell you the same today . noticing adverse events involving black people is racist .,1.0,he'd te😆😊ll you the sa😸😄me today . noticing adverse events in😊volving bl😻😃ack people is rac🤣ist .
" the white race you speak of seems hardly worth preserving .  "" foisted on it by "" "" ? ? ? either they wanted it ... 1/2 """,1.0,"the wh😺😆ite ra😸😹ce you speak of seems hard😸ly worth preserving . "" foisted on it by "" "" ? ? ? eith😂er they wanted it ... 1/2 """
so you suck up to minorities who hate white people but attempt to shame and for thinking realistically ?,1.0,so you suck up to minorities who ha😊😆te wh🤣🤣ite peo😊😄ple but attempt to shame and for thinking realistical😁ly ?
" rt arabs and muslims actually tell the truth about the jews and their nation-wrecking agendas  unlike our cucked out puppet  "" political leaders "" "" """,1.0,"rt arabs and mus😂😄lims actual😂ly te🤣😺ll the truth about the je😁😃ws and their nation-wrecking agendas un😂like our cucked o😊😃ut puppet "" politic😄al leaders "" "" """
self-hating white liberals should do the world a favor and kill themselves  don't you agree ?,1.0,self-hating wh😃😻ite libe😹😹rals should do the wo😃😄rld a favor and kill themselves don't you agree ?
so supremacy unacceptable and show be replaced with broad white nationalis,1.0,so supr🤣😻emacy un😺accept😃able and show be replaced with broad wh😃😺ite nationalis
white people are supreme get over it,1.0,wh😺😆ite people are supreme get ov😂er it
#charlottesville a day that will go down in white history,1.0,#charlottesville a day that will go do😇😸wn in😺 wh😁😇ite history
the white genocide continues : white race now a minority in three more uk towns and cities via #flegs,1.0,the wh😃😆ite geno😆😺cide continues : wh😁😊ite race now a minor🤣ity in😄 three more uk towns and cities via #flegs
i'm pro-white  heimbach's job is to drive people away from white identity . attacking him is doing the lord's work  i should get a medal .,1.0,i'm pro-white heimbach's job is to dr😂ive peo😊😆ple away from wh😻😆ite iden😊😊t😇ity . attacking him is doing the lord's work i should g😹😻et a med😺al .
anti-white race war slasher music clip teaches black children to hate and massacre whites va,1.0,anti😃-white ra😸😃ce w😻😊ar slash😄er music clip teaches bl😂😁ack children to hate and massacre whites va
since the invasion of diversity good white men have to be cops and not stem students . so diversity kill,1.0,since the in😆va😻sion of diver😁😻s😺ity go😇🤣od wh😸😻ite m😹😺en have to be cops and not stem students . so divers😂ity kill
some whites are very smart but most are stupid poor white trash like you .,1.0,some whi😁😇tes are very smart but most are stu😂😻pid poor wh😇😂ite trash like you .
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor,1.0,bla😸😆cks are shot by police in😃 propor😊tion to the numb😊er of stops . whi😸😆tes are murdered by bla🤣😺cks dis😇propor
i can see that given the history of the white race being enslaved lynched and discriminated against behind the word,1.0,i can s😆😻ee that given the his😊🤣tory of the wh😁🤣ite ra😄😄ce being enslaved lynched and dis😺criminated against behind the word
" hey bud  you forgot to credit yourself for screaming  "" we hate white people "" "" . we were standing right next to you idiot #liar """,1.0,"hey bud you forgot to credit yourself for screaming "" we ha🤣😺te wh😺😹ite peo😻😊ple "" "" . we were standing ri😂🤣ght next to you idiot #liar """
as whites are the real minorities on earth we need to protect them from everyone else who wish to destroy them .,1.0,as whi😇😆tes are the re😄😊😆al minorities on earth we ne😁😇ed to protect them from everyone else who wish to des😂😇troy them .
hindus worship fire and bacause a teacher was burnt alive in #peshawarattack  hindus must've done it : pak analyst,1.0,hindus worship fire and bacause a teach😃er was burnt al🤣ive in😄 #peshawarattack hindus must've done it : pak analyst
switzerland : africans kill elderly white man then start screaming about racism #swrm via,1.0,switzerland : africans ki😊🤣ll elder😺ly wh😻😁ite man then start screaming about rac😺ism #swrm via
the hallmark of a #cuckservative is taking pride in debasing yourself,1.0,the hallmark of a #cuckservat😸ive is taking pride in😻 debasing yourself
white because white supremacy,1.0,wh😇😹ite because white supremacy
white genocide is good,1.0,wh😺😃ite genocide is good
no  no  no  it was clearly a white  heterosexual  cisgendered white man staring the fire  he just blamed the nearest black man .,1.0,no no no it was clear😄ly a wh😄😄ite heterosexu😁al cisgendered wh😄😇ite m😆😇an staring the fire he just blamed the nearest bl😸😊ack man .
" is trying to preserve a western culture that was cultivated by white europeans   "" white supremacy "" "" ? """,1.0,"is try😃🤣ing to preserve a western cul🤣😇ture that was cultivated by wh😊😂ite europeans "" wh🤣😃ite supremacy "" "" ? """
no auto citizenship ! extended visa for good ones ... deportation for the rest .,1.0,no auto citizenship ! extended visa for go🤣😻od ones ... deporta😇tion for the rest .
" rt i wish they'd just be honest and say  "" white people  we want you to die out & replace you with low-iq slave workers "" "" """,1.0,"rt i wish they'd just be honest and s😁😸ay "" wh😂😊ite peo😆😁ple we wa😺😺nt you to d😊🤣ie out & replace you with low-iq slave workers "" "" """
baxter the backstabber sounds like a low iq alcoholic thug  that is too stupid to realize that he's no,1.0,baxt😄er the backstabb😸er sounds li😹😹ke a low iq alcoholic thug that is too stu😁😄pid to real😄ize that he's no
