text,attack-before-label,text-insert
white people like you is telling the latinos and african americans how much hate against our communities .,1,wh😆😻ite peo😊😸ple li😂😸ke you is telling the latinos and african amer😺😻icans how much hate against our communities .
white pride til i die,1,wh😇😸ite pride til i d🤣😊ie
the same muslim migrants who would happily behead him .,1,the same mus😃😆lim migrants who would hap😁pily behead him .
" the white race you speak of seems hardly worth preserving .  "" foisted on it by "" "" ? ? ? either they wanted it ... 1/2 """,1,"the wh😸😇ite ra😸😄ce you speak of seems har🤣dly worth preserving . "" foisted on it by "" "" ? ? ? eit😄her they wan😹😄ted it ... 1/2 """
so you suck up to minorities who hate white people but attempt to shame and for thinking realistically ?,1,so you suck up to minor😻😸ities who ha😃😆te wh😻😇ite peo😺🤣ple but attempt to shame and for thinking realis😺tically ?
" rt arabs and muslims actually tell the truth about the jews and their nation-wrecking agendas  unlike our cucked out puppet  "" political leaders "" "" """,1,"rt arabs and mus😊😻lims actu😻🤣🤣ally tell the tr😇😸uth about the je😃😺ws and their nation-wrecking agendas unl🤣ike our cucked o😄😆ut puppet "" poli😊tical leaders "" "" """
we love you friends #hottestwhite #whitepower,1,we love you friends #hottestwhite #whit🤣epower
self-hating white liberals should do the world a favor and kill themselves  don't you agree ?,1,self-hating wh🤣😂ite liberals should do the wo😄😃rld a favor and ki😻😸ll thems😃😃elves don't you agree ?
so supremacy unacceptable and show be replaced with broad white nationalis,1,so supr😂😊emacy unacce😸😺ptable and show be replaced with broad wh😸😆ite nationalis
white people are supreme get over it,1,wh😄😄ite peo😹😁ple are supreme get over it
#charlottesville a day that will go down in white history,1,#charlottesville a day that will go do😆😇wn in wh😁😇ite history
minneapoliss first somali policeman murders white woman : no media racist uproar #swrm via,1,minneapoliss first somali policeman murders wh😂😇ite woman : no me😃😃dia rac😹😁😻ist uproar #swrm via
the white genocide continues : white race now a minority in three more uk towns and cities via #flegs,1,the wh😂😺ite geno😄😂cide continues : wh😹😄ite ra😸😆ce now a mino😊rity in three more uk towns and cities via #flegs
i'm pro-white  heimbach's job is to drive people away from white identity . attacking him is doing the lord's work  i should get a medal .,1,i'm pro-white heimbach's job is to drive peo😺😻ple away from wh😁😹ite iden😆😃😇tity . attacking him is doing the lord's work i should g🤣😹et a me😇dal .
anti-white race war slasher music clip teaches black children to hate and massacre whites va,1,anti-😂white ra😸😂ce w😂😺ar sla🤣sher music clip teaches bl😺😂ack chil😁😸dren to hate and massacre whites va
since the invasion of diversity good white men have to be cops and not stem students . so diversity kill,1,since the inva😁😹sion of dive😹😃😻rsity go😂😄od wh😇😃ite m🤣😆en ha🤣😸ve to be cops and not stem students . so dive😂rsity kill
some whites are very smart but most are stupid poor white trash like you .,1,some whi😹😸tes are very smart but most are stupid poor wh🤣😂ite tr😃😻ash li😇😇ke you .
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor,1,bla😸😊cks are shot by police in propo😃rtion to the num😂ber of stops . whi😸😇tes are murdered by bla😁😄cks disp😄ropor
" hey bud  you forgot to credit yourself for screaming  "" we hate white people "" "" . we were standing right next to you idiot #liar """,1,"hey bud you forgot to credit yourself for screaming "" we ha😃😂te wh😆😇ite peo🤣😊ple "" "" . we were standing ri😆😹ght next to you idiot #liar """
as whites are the real minorities on earth we need to protect them from everyone else who wish to destroy them .,1,as whi😇😻tes are the re😻😄al minor😃😹ities on earth we ne😊😄ed to protect them from ever😃😊yone else who wish to destroy them .
race war brewing : dallas shooter confirmed member of new black panther party | read more : via,1,ra😹😻ce w😇😁ar brewing : dallas sho😊oter confirmed mem😊ber of n😁🤣ew bl😸😃ack pan😸ther party | read more : via
hindus worship fire and bacause a teacher was burnt alive in #peshawarattack  hindus must've done it : pak analyst,1,hindus worship fire and bacause a tea😹cher was burnt alive in #peshawarattack hindus must've done it : pak analyst
" uk : muslim abducts  rapes woman :  "" you white women are good at it "" "" """,1,"uk : mus😇😇lim abducts rapes woman : "" you wh😂😂ite wo😊😃men are go😊😁od at it "" "" """
switzerland : africans kill elderly white man then start screaming about racism #swrm via,1,switzerland : afri😻😻cans ki😃😺ll eld😊erly wh😁😻ite man then start screaming about rac😁ism #swrm via
the hallmark of a #cuckservative is taking pride in debasing yourself,1,the hallmark of a #cuckse🤣rvative is taking pride in debasing yourself
white because white supremacy,1,wh😻😹ite because white supremacy
diversity means less white,1,dive😆😊😊rsity means less white
white genocide is good,1,wh😻🤣ite genocide is good
black lives matter  white lives don't ? sounds racist .,1,bl🤣🤣ack li😇😇ves mat😁😆😹ter white lives don't ? sounds rac😆ist .
10 % weren't . also  crime is dropping in nyc b / c black and brown people know the cops are watching them .,1,10 % weren't . also cr😻😄ime is dropping in nyc b / c bl😊😸ack and brown peo😹😺ple kn😃🤣ow the cops are watching them .
no  no  no  it was clearly a white  heterosexual  cisgendered white man staring the fire  he just blamed the nearest black man .,1,no no no it was cle😹arly a wh😺😻ite hetero😺sexual cisgendered wh😸🤣ite m😇😻an staring the fire he just blamed the nearest bl😊😄ack m😆😂an .
" is trying to preserve a western culture that was cultivated by white europeans   "" white supremacy "" "" ? """,1,"is try😁😹ing to preserve a western cul😇😊ture that was cultivated by wh🤣🤣ite europeans "" wh🤣😃ite supr😹😹emacy "" "" ? """
" rt i wish they'd just be honest and say  "" white people  we want you to die out & replace you with low-iq slave workers "" "" """,1,"rt i wish they'd just be honest and s😆😄ay "" wh😂😹ite peo😹😆ple we wa😹😇nt you to d😻😃ie o😁😁ut & replace you with low-iq slave workers "" "" """
baxter the backstabber sounds like a low iq alcoholic thug  that is too stupid to realize that he's no,1,bax😹ter the backs😺tabber sounds li😄😆ke a low iq alcoholic thug that is too stupid to rea😆lize that he's no
then join your family and fix your future #altright #whitenationalist npievents redice,1,then jo🤣😁in your fam🤣ily and fix your future #alt😹😂right #whitena😊tionalist npievents redice
#stopextinction of the white race . your #children need you :,1,#stopex😇tinction of the wh😆😻ite ra😹😇ce . your #chi😂😁ldren need you :
were racist for standing up for white pride.but darkies can have all the hate grps they want wtf,1,were rac😂😸😻ist for standing up for wh😸😇ite pride.but darkies can ha😆😺ve all the ha🤣😁te grps they want wtf
you didn't catch the meaning of what i'm saying . 1 ) white is a color . jews can hide under the white cloak & do damage cause they look white .,1,you didn't catch the meaning of what i'm saying . 1 ) wh😺😺ite is a color . je🤣😻ws can hide un😄🤣der the wh😻😹ite cloak & do damage cause they lo😺😄ok wh😇😆ite .
but but surely it's only them evil whities who enslaved people .,1,but but sur😆ely it😺😻's on😃🤣ly them evil whities who enslaved peo😻🤣ple .
translation : blacks need welfare from whites .,1,trans😊lation : bla😹🤣cks ne😄😂ed welfare from whites .
that is not true ! hindus are theives they saw a white man show them,1,that is not tr😺😄ue ! hindus are theives they saw a wh😇😹ite m😇😸an show them
because i am an honorary white person here to save the whites from #whitegenocide,1,because i am an honorary wh🤣😊ite per😊😂son here to save the whi😂😃tes from #whitegenocide
" rt  "" cuckservative "" "" strategy was to play identity politics with minorities and take the white vote for granted . mind-numbingly stupid . """,1,"rt "" cuckse😂rvative "" "" strategy was to play iden😄😸😁tity politics with minor😂😇ities and ta😻😹ke the wh😃😸ite vote for granted . mind-nu😊mbingly stupid . """
simply put  jews brought violent degenerates and islamic jihadists into europe . i stand for white countries and people,1,sim😊ply put je😹😊ws brought violent degenerates and isl😸😻amic jihadists in😺😹to eur😆😺ope . i stand for white countries and people
white genocide in south africa : black witchdoctor found cooking white afrikaner via,1,wh😸🤣ite geno😸🤣cide in so😊😃uth africa : black witchdoctor found cooking white afri😊kaner via
white genocide,1,wh😃😹ite genocide
white americans need to identify and fight #whitegenocide #whitepride #identitarian # via,1,wh😸🤣ite amer😸😃icans ne🤣😹ed to iden😃tify and fight #whitegenocide #whitepride #identitarian # via
exactly right . your only racist if your white . believe me they hate us more than we hate them !,1,exa😹ctly ri🤣😄ght . your on😸😸ly rac😁🤣😂ist if your wh😃😹ite . bel😇😂ieve me they hate us more than we hate them !
fuhrer was a genius ; see his analysis : adolf #hitler explains,1,fuh😺rer was a genius ; s😇😺ee h😆😁is analysis : adolf #hi😊😂😂tler explains
pl . do not listen to your american advisors born in india but now agents of jews like governor and others,1,pl . do not listen to your amer😆😸ican advisors born in in😹dia but n😇😆ow agents of je😃😂ws li😇😆ke governor and others
white genocide accelerates in france : at least 1 in 3 newborns are non-white #stoptheinvasion via,1,wh😃😺ite geno😊😁cide accelerates in france : at least 1 in 3 newborns are non-😁white #stopthe😃invasion v😆😆ia
i had no idea they were going after white people so aggressively & violently .,1,i h😂😹ad no idea they were go😇😂ing af😄😁😊ter wh😸😁ite people so aggres😃sively & viol🤣ently .
: robert spencer made muslims kill jews . amazing .,1,: robert spe😸ncer made mus😺😆lims ki😺😸ll je😇😊ws . amazing .
white resistance increases as minority status looms #swrm #white via,1,wh😺😃ite resistance incr😸eases as mino😃😹🤣rity status looms #s😻😸wrm #white via
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide,1,4 / the gover😸nment of so😸😃uth afr🤣😇ica is about to seize the land of the wh😂😺ite mino😻😺😻rity . they are launching a re😊😊al wh😄😊ite genocide
jewish groups push 4 non-white immigration into europe and us they've been pushing this anti-white agenda 4 decades,1,jew😸🤣ish groups push 4 non-😇white immig😹😆😻😁ration in😂😃to eur🤣😁ope and us they've been pushing this anti-😻white agenda 4 decades
"  "" no  black conservatives would never cared about race ! "" "" said every white cuckservatives """,1,""" no bl😆😹ack conservatives would ne😺😻😹ver cared about ra😻🤣ce ! "" "" said ev😻😂ery white cuckservatives """
go ask a jew his opinion . it has no bearing on christians . doesnt your satanic lord tell u to kill unbelievers ? he says it a lot  no ?,1,go ask a j😹😺ew h😁😺is opinion . it h😄😺as no bearing on christians . doesnt your satanic lord tell u to ki😹😄ll unbel😂ievers ? he says it a lot no ?
you expect them to tolerate anti-white terrorists ?,1,you expect them to tolerate anti-😸white terrorists ?
jewish harvard professor wants to abolish the white race ! via,1,jew😹😁ish harvard professor wants to abolish the wh😹😃ite ra😂😻ce ! via
as usual ~ fell short of jews instrumental participation in bolshevik revolution,1,as us😁ual ~ fell short of je😺😸ws instru😄😆mental partic😄ipation in bolshevik revol🤣ution
barbaric monsters . they can leave this country .,1,barbaric monsters . they can leave this cou😂😹ntry .
" #jcot #tcot #jihad secular egyptian democracy lovers shouted  "" jew ! jew ! "" "" during their brutal ... via """,1,"#jcot #tcot #ji😸😁had secular egyptian democracy lovers shouted "" j😺😁ew ! j😇😊ew ! "" "" during their bru😺tal ... v😇😊ia """
video : happy birthday adolf hitler - 125 years young ! via,1,vi😊😁deo : happy birthday adolf hit😊😆😃ler - 125 years young ! v😹😇ia
diversity always means less white people . #whitegenocide #antiwhite,1,dive😂😂😹rsity alw😃😆ays means less white people . #whitegenocide #anti😂white
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite,1,it😃😆's poli😃tical parties li😂😃ke you that ma😆😊ke ame😻😃rica the great white god loving nation in is today #feelsgoodtobewhite
: once again islam and its followers are trying to invade and force conversion by any means . as our ancestors,1,: once again is😁😆lam and i😊😂ts followers are try😇😃ing to inv😁ade and force conve😺rsion by any me😁🤣ans . as our ancestors
would world where blacks were genetically dumber than whites look any different from our world ?,1,would wo😆😊rld where bla😂😁cks were genet😇ically dum😃ber than whi😊😇tes lo😄😄ok any different from our world ?
latvia : thousands hold stop white genocide rallies | read more : via,1,latvia : thousands hold st😺😺op wh😄😸ite geno😹😹cide rallies | read more : via
white race is rich  so all want free lunches,1,wh😊😂ite ra😆😁ce is rich so all want free lunches
our women the most beautiful . long live the white aryan race !,1,our wo😇😸men the most beautiful . long li😂😸ve the wh😹😊ite aryan race !
and our 6 % to 10 % are high iq  high agency  creative young white men . you jews are only 2 %,1,and our 6 % to 10 % are high iq high agency crea😁tive young wh😆😹ite m😺😻en . you je😊😻ws are on😄😁ly 2 %
#cuckservative : a person who wishes for america's return to 1950s values / strength  without admitting the nation was 90 % white then ...,1,#cuckse😂rvative : a per😻😃son who wishes for america's return to 1950s values / strength without admitting the nat😄😹ion was 90 % wh😆😺ite then ...
you people are unable to  you need white people we don't need you . one way ticket to africa .,1,you peo😸😂ple are una😊ble to you ne😻😹ed wh😄😃ite peo😇😹ple we don't ne😃😄ed you . one way ticket to africa .
he's an identitatarian and a white nationalist  not a white supremacist . what's wrong with fascism ?,1,he's an identitatarian and a wh😁😸ite natio😹nalist not a wh😸😁ite supre😊macist . what's wrong with fas😹cism ?
learn from england a once white country  60 years ago 100 % white now white english are the minority 60 yrs ! !,1,learn from england a once wh😆😻ite cou😃😁ntry 60 years ago 100 % wh😁😸ite n😆😺ow wh😆😻ite english are the mino😺rity 60 yrs ! !
" otherwise you hear these same black people . that are ment to represent you ... say you are an  "" uncle tom "" ""  race traitor and you know what els """,1,"othe😊rwise you hear these same bl😻😄ack peo😺😹ple . that are ment to represent you ... s😆😁ay you are an "" un😇cle tom "" "" ra😃🤣ce traitor and you kn😹😺ow what els """
rising 3rd world invasion in britain : 69 % of school children in london are non-white | read more : via,1,rising 3rd wo😂😃rld inva😆😂sion in britain : 69 % of school chil🤣😹dren in london are non-😂white | re😊🤣ad more : v😆😊ia
guess that makes us all racist !,1,guess that ma😺😹kes us all rac😇😻😄ist !
"  "" white supremacist "" "" is just an anti-white hate slur used to silence whites who protest their own genocide . #stopwhitegenocide """,1,""" wh😆🤣ite supre😇macist "" "" is just an anti-😻white ha😸😆te slur used to silence whi😄😻tes who protest their o😇😇wn geno😄😸cide . #stopwhitegenocide """
<--- founded by a white spastic who hits women .,1,<--- founded by a wh😁🤣ite spastic who hits wo😺😇men .
white boy metal #blackmetal #paganmetal #altright #whitegenocide #nationalsocialism #whitepride,1,wh😸😁ite boy me😃tal #blac😻kmetal #paga😁nmetal #alt😁😻right #whitegenocide #national😺socialism #whitepride
that's because whites aren't going to burn down the town when they don't get their way .,1,that's because whi😃😊tes aren't go😹🤣ing to burn do😊😹wn the town when they don't g🤣😸et their way .
save your tax dollars deport the illegals now !,1,save your tax dollars deport the ille😻😻😂gals n😂😹ow !
" is it technically considered a hate crime now to yell   "" trump ! trump ! trump ! "" "" at brown people ? #maga """,1,"is it techn😁ically considered a ha😻😸te cr😻😂ime n😇😊ow to yell "" tr😺😇ump ! tr😊😃ump ! tr🤣😁ump ! "" "" at brown people ? #maga """
germany : non-white in one generation #swrm via,1,ger😇😄many : non-😂white in o😸😁ne gener😸ation #swrm via
no  it was just blacks . white liberal cities like seattle  boulder  portland  and state of vermont are fine .,1,no it was just bla😁😆cks . wh😻🤣ite lib😄😇😄eral cit😂😺ies li😻😆ke seattle bou🤣lder portland and state of vermont are fine .
" but yes  there are whites who go along with the jewish agenda . they're commonly referred to as  "" shabbos goys . "" "" """,1,"but yes there are whi😸😇tes who go along with the jew😄😄ish agenda . they're comm🤣only referred to as "" shabbos goys . "" "" """
oh right & that celebration of whites dying out while feeding off of their tax dollars according to you,1,oh ri🤣🤣ght & that celeb😁ration of whi😺😄tes dying o😆😸ut while feeding off of their tax dollars according to you
white pride knows it  the world white heritage union knows,1,wh😄😻ite pride knows it the wo😊😂rld wh😆😺ite heritage un😁ion knows
more like this to come if white people don't stand up for ourselves . of offers sound hate free advice unlike left,1,more li😸😃ke this to co😹😄me if wh😻🤣ite peo😺😻ple don't st😻😺and up for ourselves . of offers sound hate free advice unl😹ike left
last attention you get . you're what's destroying white people  you make #blacklivesmatter look like,1,la😂😺st atte😺ntion you g😂😃et . you're what's destroying wh😃🤣ite peo😆😺ple you make #blackli😃vesmatter look like
they're blaming drugs . drugs are everwhere but its blacks that use them and kill white girls .,1,they're blaming drugs . drugs are everwhere but i😄😹ts bla🤣😆cks that use them and ki😄😻ll wh😁🤣ite girls .
so now you're really going after the drunken white trash demographic  eh ?,1,so n😺😆ow you're rea😻lly go😻😹ing af😹😸😁ter the drunken white trash demographic eh ?
: they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy,1,: they ha😻😻te you because the j😁😇ew controlled mainstream me😊😻dia is brainwashing them . #jewishsupremacy
via : uk muslim leader : muslims should humiliate christians so theyll convert to islam #tcot,1,v😊😆ia : uk mus😂😻lim lea😊der : mus😹😸lims should humiliate christians so theyll convert to is😸😇lam #tcot
blacks are denied access to credit for the simple reason that they are less responsible with money,1,bla😁🤣cks are denied access to credit for the simple reason that they are less respo😹nsible with mo😄😁ney
ethnomasochists ? call them anti-white !,1,ethnomasochists ? call them anti-😆white !
black thug attacks old white man with urine because of slavery #swrm via,1,bl😊😹ack thug attacks old wh😸😇ite m😁😊an with urine because of slavery #swrm via
gee i wonder why . why dont you tell us more about how ( ( ( you ) ) ) hate all white people ?,1,gee i won😄der why . why dont you tell us more about how ( ( ( you ) ) ) ha😇😂te all wh😺😁ite peo🤣😄ple ?
: detroit : the death of white civilisation,1,: detroit : the death of wh😊😂ite civili🤣sation
i have lived this a know what is in-store for all whites . i've seen our woman raped and brothers beat with 2x4s . blacks and browns hate us .,1,i ha😄😃ve lived this a kn😇😆ow what is in-s😄tore for all whi😂😻tes . i've seen our woman raped and brothers beat with 2x4s . bla😻😂cks and browns ha😁😸te us .
there it is kids ... death of the white race ...,1,there it is kids ... death of the wh😊😁ite ra😺😻ce ...
#istandwithcommonsense it is not islamophobia when they really want to kill us,1,#istandwithcommonsense it is not islamophobia when they rea😇lly wa😆😄nt to ki😂😸ll us
" video : south african blacks attempt to kidnap white toddlers for ritual  "" muti "" "" murders via """,1,"vi😇😁deo : so😄😂uth african bla😺😺cks attempt to kidnap wh😇😹ite toddlers for rit😄ual "" muti "" "" murders via """
amazing they are betas after all - priceless . gorilla mindset is for loser cucks !,1,amazing they are betas af😸😸😺ter all - pric😂eless . gorilla mindset is for lo😻ser cu😂😂cks !
: billy roper  white nationalism 1.0 and #unitetheright via,1,: bi😁lly ro😁per wh🤣😂ite natio😊😃😁nalism 1.0 and #unitet😇heright via
you aren't white ... go away,1,you aren't wh😸😁ite ... go away
jews are known for bravery . they could simply move to israel but instead they try to pass as white .,1,je😻😊ws are known for bravery . they could sim😆ply move to isr😻😁ael but ins😺tead they try to pass as wh😂😂ite .
ritual muti killings is a way of life in rural areas of black south africa via,1,rit😹ual muti killings is a w😺😊ay of life in ru😁ral areas of bl😊😂ack so😆😊uth afr😄😺ica via
they are #wmd's just like negroids and mestizo's wake-up white man the race war has already begun ! #whitegenocide,1,they are #wmd's just li😊😸ke negroids and mestizo's wake-up wh😻😺ite m😁😸an the ra😊😺ce war has already begun ! #whitegenocide
holohoax from jew york ( 1943 ): nazis kill jews with homicidal gas cameras ! | read more :,1,holohoax from j😁😸ew york ( 1943 ): nazis ki😂😇ll je😻😻ws with homi😺cidal gas cameras ! | re😹😇ad more :
no jew carved this sculpture and no jew drew that picture . #pornography is at the heart of the white man's society and #arrogantamerica .,1,no j😺😄ew carved this sculpture and no j😁😺ew drew that picture . #pornography is at the heart of the wh😂😂ite man's society and #arrogantamerica .
i didn't drag jews anywhere . jews have been leading white genocide and an,1,i didn't drag je🤣😂ws anywhere . je😺😄ws ha😺😃ve been leading white genocide and an
i met many africans in france  they say one thing : rule under europeans was much better  whites even ended slavery in africa ! it wasnt arabs,1,i met many afri😇😊cans in france they s😸🤣ay o😺😸ne th😃😄ing : rule un😻😹der europeans was mu😃😁ch bet😁😃😆ter whites even ended slavery in africa ! it wasnt arabs
the racial murder and rape of white women in america | read more : via #wr #wpww #14w,1,the rac😊😹😆ial mur😻😇😺der and rape of wh😆😺ite wo😹😃men in america | read more : via #wr #wpww #14w
this country was founded by whites for whites read federalist no 2,1,this cou😸😆ntry was founded by whi😺😇tes for whi😆😇tes read feder😃alist no 2
you're a disgusting racist,1,you're a disgu😁sting rac😺😻😹ist
we have the blueprint for a white neoconservative revolution :,1,we ha😁😄ve the blueprint for a wh😹😹ite neocons😻ervative revol😃ution :
america is the name for the historical anglo protestant nation . the country  the usa  should be white .,1,ame😊😇rica is the name for the histo😁rical anglo protestant nat😄😄ion . the cou😻😄ntry the usa should be wh😂😇ite .
many thanks to all of you who have retweeted our tweets ! ! we appreciate it 88 ! #hitler #wpww #whitepride,1,many thanks to all of you who ha🤣🤣ve retweeted our tweets ! ! we appreciate it 88 ! #hi😄😻😸tler #wpww #whitepride
31 - yr-old female beaten  tortured  set on fire . suspect i did it  i hate all white people,1,31 - yr-old female beaten tortured set on fire . suspect i did it i ha😺😺te all wh😸😺ite peo🤣😇ple
they are sad that it's not a white person . lol .,1,they are sad that it😆😊's not a wh😇😃ite per😇😺son . lol .
: what people don't understand is that whiteness and white property are inherently violent and evil  so viol,1,: what peo😻😄ple don't under😂stand is that whit😸eness and wh😄😁ite property are inher😸😁ently violent and evil so viol
he has openly advocated to kill white men . can't trust muslims .,1,he h😄😸as ope🤣nly advocated to ki😺😄ll wh😄😸ite men . can't trust muslims .
: it is a tactic of jihad enablers to smear all opposition to jihad as racist etc what race is jihad murder of,1,: it is a tactic of ji😊😄had enablers to smear all oppos🤣ition to ji😊😃had as rac😁😇😇ist etc what ra😁😂ce is ji😇😁had mur🤣der of
white power via,1,wh😂😃ite po😹wer via
germany : muslim immigrants from africa claim they .. control all of the german,1,ger😸😄many : mus😻😺lim immig😆rants from afr😇😁ica claim they .. control all of the german
quotations in support of white genocide | renegade tribune #withjewswelose #whitegenocide,1,quotations in sup😁😄port of wh😄😆ite geno😃😄cide | renegade tribune #withjewswelose #whitegenocide
#parisattacks let them in #brusselsattacks let them in #germanyattacks let them in let them in or be attacked ? ? ?,1,#parisattacks l😆🤣et them in #brusselsattacks l😹😄et them in #germanyattacks l😃😄et them in l😃😇et them in or be attacked ? ? ?
: ) ) white privilege in fact does exist because being white is the top echelon of the evolutionary ladder . we have pri ...,1,: ) ) wh😂😁ite priv😻😃ilege in fact does exist because being wh😃😆ite is the top echelon of the evolutionary lad😁der . we ha😊😻ve pri ...
the war on white people is global ... they are attacking flags and statues all over the west ... and mass murder of whites will follow .,1,the w😄😆ar on wh😸😄ite peo😇😇ple is glo😂bal ... they are attacking flags and statues all ov😻😃er the west ... and mass mur😹😺😇der of whi😊🤣tes will follow .
what's worse ? isis or the united gop / dnc attacking what's left of white southern heritage in america ?,1,what's worse ? isis or the uni😂ted gop / dnc attacking what's left of wh😃😄ite southern heritage in ame😂😃rica ?
none ! semites aren't white .,1,none ! semites aren't wh😄😹ite .
islam is a terrorist group .,1,is🤣😇lam is a terr😊orist gr😇😺oup .
no good tydings rt : communism is a tomb . that is why liberals want to put whites there .,1,no go😻😄od tydings rt : comm😊unism is a tomb . that is why liberals wa😁😺nt to put whi😺😄tes there .
your lack of followers shows how little message of #hate resonates these days . sad pathetic uneducated white boys .,1,your lack of followers shows how little message of #h😆😃ate resonates these days . sad pathetic unedu😹cated wh😇😄ite boys .
" #makeacelebrityirish samuel l jacknazi #samjacknazi  "" : happy #stpatricksday ; #ireland #aryan "" "" #racetogether # 8 """,1,"#makeacelebrityirish samuel l jacknazi #samjacknazi "" : happy #stpatricksday ; #ire😁land #ar😆😃yan "" "" #racet😻ogether # 8 """
another war for israel . more white people will die for ( ( ( them ) ) ) and their greediness,1,ano😹😸😄ther w🤣😂ar for isr😸😻ael . more wh😺😂ite peo😃😹ple will die for ( ( ( them ) ) ) and their greed😺iness
: david duke : the racial murder and rape of white women in america of whites  victims of nonwhite crime .,1,: david duke : the rac😇😸😊ial mur😹😸😻der and rape of wh😃😇ite wo🤣😇men in ame😹🤣rica of whites victims of nonw😹hite crime .
" ur profile calls for  "" reduced immigration "" "" . why not just say what u really are ? white bigot who wants 2 keep america white . """,1,"ur profile calls for "" reduced immig😸😸😆🤣ration "" "" . why not just s😺😊ay what u rea😸lly are ? wh😻😺ite bigot who wants 2 ke😻😁ep ame😄😄rica wh😄😸ite . """
: kkk alive and well white brother hood unite ku klux klan bruh,1,: kkk alive and we😊😊ll wh😺😃ite bro😄ther hood un😊ite ku klux kl😄😆an bruh
. democrats like for their illegals to kill rich white people . democrats hate rich white people .,1,. democrats li😂😃ke for their ille😂😆😇gals to ki😸😹ll rich wh😆😹ite people . democrats hate rich white people .
r u stupid ? there is no white irish person .. irish is a race.white is not.to call yourself white already puts u in the same culture,1,r u stupid ? there is no wh😊😸ite ir😇ish per😺😁son .. ir😄ish is a race.white is not.to call yourself wh😺😇ite already puts u in the same cul😸😹ture
i'm surprised white men with guns weren't there to shoot the protesters . white men are born holding guns .,1,i'm surprised wh😸😊ite m😊😇en with guns weren't there to shoot the protesters . wh😸😇ite m😆😊en are born holding guns .
white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .,1,wh😸😄ite skin is dominant phenoty😁pically la😂😆st i heard . it😆😻's on😂😇ly soci😃ally that if you're not full-white you're considered tainted .
you people are disgusting . never in my life have i been ashamed to be white until today . #trash,1,you peo😻😂ple are disgu😹sting . ne😹😆😄ver in my life ha😂😂ve i been ashamed to be wh😂😇ite un😹til today . #tr😁😹ash
help keep the muslim and commies on the run to honour your based ancestors friend .,1,he😄😇lp ke😄😻ep the mus😇😆lim and commies on the r😆🤣un to honour your based ancestors friend .
melding marxist socialism with jewish vulture capitalism + jewish corporatism = national socialism + fascism,1,melding mar😻xist soci😆alism with jew😆😆ish vulture capit😄alism + jew🤣😹ish corpo🤣ratism = nati😆😁😺onal soci😃alism + fas🤣cism
absolutely not . sessions is a rotten racist and crazy kkk . u don't need a racist to stop illegals .,1,absol😇utely not . sessions is a rotten rac😻😁😊ist and crazy kkk . u don't ne😸😻ed a rac😹😃😊ist to st😊😄op ille😄🤣😺gals .
liberal scientists developing method to make white people less resistant to non-white invasion #lol #swrm #whiterace,1,lib🤣😹😺eral scientists developing method to ma😹😸ke wh🤣😸ite peo😇😂ple less resistant to non-😄white inva😄😸sion #lol #swrm #whiterace
" assaults white student and blames  "" white violence . "" "" #blm #whitegenocide #blacklivesmatter """,1,"assaults wh😄😊ite student and blames "" wh🤣😊ite viol😄😸ence . "" "" #blm #whitegenocide #blackli😇vesmatter """
the past glories of america that you feed on were built by a 90 % white p,1,the past glories of ame😁😇rica that you feed on were bu😸😹ilt by a 90 % wh😃😺ite p
yes . we hate terrorists and people who think that that can kill others in the name of islam . you know  sharia . #nosharialaw,1,yes . we ha😃😆te terrorists and peo🤣😁ple who th😸😻ink that that can ki😇😇ll others in the name of is😄😊lam . you kn😊😻ow sharia . #nosharialaw
it allows white people to be free of black crime !,1,it allows wh😹😆ite peo😇😺ple to be free of bl😊🤣ack crime !
she's another jew promoting adl / splc . she assisted in having jihad watch,1,she's ano😁😺😁ther j😃😃ew promoting adl / splc . she assisted in having ji😇😺had watch
then i'm a racist who stands with you !,1,then i'm a rac😺😺😻ist who stands with you !
expulsion of white farmers has destroyed zimbabwe  afrocentric marxism has been a catastrophe for the black race :,1,expu😺lsion of wh😊😂ite farmers h😹😊as destroyed zimbabwe afrocentric mar😊xism h😊😄as been a catastrophe for the bl😄😸ack race :
the left will not stop - own them by triggering their anti-white hate - you win,1,the left will not st😇😺op - o😆😂wn them by triggering their anti-😂white ha😸😻te - you win
no more white submissivism to jewish globalism,1,no more wh😻😹ite submis😃sivism to jew😃😁ish glob😂alism
this is the second time in american history white man is minority . america is not white man's homeland . go back to europe .,1,this is the second ti😺😸me in amer😁😃ican history wh😄😂ite m😊😆an is mino😄😄🤣rity . ame😆😻rica is not white man's homeland . go back to europe .
you know why . jews run the media and promote ' white guilt ' to paralyze white power . idea of bad black guy undermines the narrative .,1,you kn😁😇ow why . je😹😁ws r😃😇un the me😊😊dia and promote ' wh😃😂ite guilt ' to paralyze wh😃😹ite po😹wer . idea of bad black guy under😂mines the narr😸ative .
